title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
Sharp Objects,£47.82,Four,In stock,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery,19.63,1,True,2070.9649999999997
The Past Never Ends,£56.50,Four,In stock,Mystery,56.5,4,True,5960.75
A Murder in Time,£16.64,One,In stock,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery,54.21,2,True,5719.155
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery,10.69,1,True,1127.7949999999998
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock,Mystery,48.35,5,True,5100.925
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock,Mystery,16.73,2,True,1765.015
Poisonous (Max Revere Novels #3),£26.80,Three,In stock,Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery,54.36,4,True,5734.98
Most Wanted,£35.28,Three,In stock,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),£11.84,One,In stock,Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery,59.48,3,True,6275.139999999999
The Widow,£27.26,Two,In stock,Mystery,27.26,2,True,2875.9300000000003
Playing with Fire,£13.71,Three,In stock,Mystery,13.71,3,True,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock,Mystery,25.37,5,True,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock,Mystery,52.3,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock,Mystery,20.89,4,True,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock,Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock,Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock,Mystery,23.05,5,True,2431.775
The Exiled,£43.45,Three,In stock,Mystery,43.45,3,True,4583.975
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock,Mystery,19.21,1,True,2026.6550000000002
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock,Mystery,25.4,3,True,2679.7
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock,Mystery,24.72,2,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock,Mystery,57.7,4,True,6087.35
The Girl You Lost,£12.29,Five,In stock,Mystery,12.29,5,True,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock,Mystery,15.85,3,True,1672.175
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock,Mystery,20.3,3,True,2141.65
1st to Die (Women's Murder Club #1),£53.98,One,In stock,Mystery,53.98,1,True,5694.889999999999
Security,£39.25,Two,In stock,Horror,39.25,2,True,4140.875
Follow You Home,£21.36,One,In stock,Horror,21.36,1,True,2253.48
The Loney,£23.40,One,In stock,Horror,23.4,1,True,2468.7
Pet Sematary,£10.56,Three,In stock,Horror,10.56,3,True,1114.0800000000002
Doctor Sleep (The Shining #2),£40.12,Two,In stock,Horror,40.12,2,True,4232.66
Psycho: Sanitarium (Psycho #1.5),£36.97,Five,In stock,Horror,36.97,5,True,3900.335
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One,In stock,Horror,48.64,1,True,5131.52
Red Dragon (Hannibal Lecter #1),£23.37,Three,In stock,Horror,23.37,3,True,2465.5350000000003
Dracula the Un-Dead,£35.63,Five,In stock,Horror,35.63,5,True,3758.965
Night Shift (Night Shift #1-20),£12.75,Four,In stock,Horror,12.75,4,True,1345.125
Needful Things,£47.51,Four,In stock,Horror,47.51,4,True,5012.304999999999
Misery,£34.79,Two,In stock,Horror,34.79,2,True,3670.345
It,£25.01,Three,In stock,Horror,25.01,3,True,2638.5550000000003
'Salem's Lot,£49.56,Four,In stock,Horror,49.56,4,True,5228.58
The Stand,£57.86,Two,In stock,Horror,57.86,2,True,6104.23
The Girl with All the Gifts,£49.47,Three,In stock,Horror,49.47,3,True,5219.085
House of Leaves,£54.89,One,In stock,Horror,54.89,1,True,5790.895
